t,n,pos,M1 自身,M2 +一跳关联,M3 +多跳传导,M4 +结构位置,M5 +同业竞争
2016,2844,60,0.9916127873563219,0.9952227011494252,0.9995270593869732,0.9996767241379311,1.0
2017,3233,100,0.9922438557293329,0.9942930098946696,0.9985924034471753,0.9994063198212576,1.0
2018,3230,88,0.9879202592442567,0.9909221109889474,0.9976708523812279,0.9986256582373706,0.9999963833111509
2019,3371,86,0.9928922869986903,0.996506318360412,0.9993522353191038,0.9996247920427596,1.0
2020,3704,58,0.9886413074318573,0.9912989199311479,0.9977821703520154,0.9984867686836779,1.0
2021,4175,39,0.8817636264444776,0.8798851857362496,0.8760973069483708,0.876196498536924,0.8728549818975351
2022,4539,29,0.9268827892040676,0.9311873996482911,0.9281519993883325,0.927310956495145,0.9216300940438872
2023,4796,57,0.9321568322578972,0.9394831243544608,0.9375691814469704,0.9391610488555213,0.9321864483957308
