模型,合并AUC,逐年平均AUC,KS,AP,Top10%捕获率,对照,ΔAUC,ΔAUC_lo,ΔAUC_hi,P(Δ≤0)
M1 自身,0.8766659640139329,0.8794634413540884,0.6005393591660683,0.11502768090517589,0.6133828996282528,,,,,
M2 +一跳关联,0.8773157348100753,0.8799552074564477,0.5942528129897069,0.11497590309953132,0.6356877323420075,M1 自身,0.0007905961276515062,-0.004334809270039095,0.005896994768896951,0.393
M3 +多跳传导,0.8769552593191149,0.8806749889778078,0.6088110822974695,0.11689723526001466,0.6096654275092936,M1 自身,0.0004566153108030652,-0.005921788895305499,0.0069963763978946785,0.4555
M4 +结构位置,0.8785318363902388,0.8805682953193468,0.6025269148933834,0.11954354040261178,0.6356877323420075,M1 自身,0.0020107477505963366,-0.005303811305536002,0.009304604351616322,0.295
M5 +同业竞争,0.878768432740397,0.8786849289039764,0.6010875746843003,0.11291348759729972,0.6245353159851301,M1 自身,0.0022786095856471428,-0.005355435238473696,0.009626895972994823,0.2815
S0 无报表基线,0.8381849308801971,0.8407357650445016,0.5254186456222173,0.0859781190100167,0.550185873605948,,,,,
S1 无报表+图谱,0.8297353487755911,0.836642286057851,0.5159044714331407,0.08144377836667473,0.4721189591078067,S0 无报表基线,-0.008364346027926055,-0.020673612498728205,0.0035219050159890773,0.909
R1 M4剔除诉讼衍生边,0.8769168329977434,0.8788368195943264,0.6052507921311676,0.12241200209326111,0.6245353159851301,M1 自身,0.0004014466412101419,-0.005938042314333131,0.006713595269097827,0.4485
