子样本,样本,违约,比较,基线AUC,新模型AUC,ΔAUC,ΔAUC_lo,ΔAUC_hi
全样本,20585,269,M2 +一跳关联 vs M1 自身,0.8766659640139329,0.8773157348100753,0.0006302025579487229,-0.004551016797060009,0.005865100922158483
全样本,20585,269,M4 +结构位置 vs M1 自身,0.8766659640139329,0.8785318363902388,0.0020786778930079438,-0.005180609199920039,0.009436287695306427
全样本,20585,269,S1 无报表+图谱 vs S0 无报表基线,0.8381849308801971,0.8297353487755911,-0.008233447038648102,-0.020832683745519755,0.004221954823820819
民营且规模低于中位数,9875,112,M2 +一跳关联 vs M1 自身,0.908334674646259,0.9087754788487145,0.00042845436853426304,-0.006205165091233772,0.006750203026001871
民营且规模低于中位数,9875,112,M4 +结构位置 vs M1 自身,0.908334674646259,0.9091129409871088,0.0007031325448852004,-0.008721475761256106,0.009757182730717845
民营且规模低于中位数,9875,112,S1 无报表+图谱 vs S0 无报表基线,0.8869675597372002,0.8757224799168873,-0.011410693708754624,-0.02640664096223351,0.0027179648746725243
其他,10710,157,M2 +一跳关联 vs M1 自身,0.8474319193201921,0.848144126613557,0.0007569683146217924,-0.0074122068708688815,0.008513834626673595
其他,10710,157,M4 +结构位置 vs M1 自身,0.8474319193201921,0.8502203919433663,0.002953246005452608,-0.008419105021001136,0.013595116792942669
其他,10710,157,S1 无报表+图谱 vs S0 无报表基线,0.7979015234596857,0.7922835357591437,-0.0055459723772211976,-0.023289932949908252,0.012589999161043882
