,2019,2020,2021,2022,2023,fixed
g_sup,-0.21469484982597317,-0.20322172868333394,-0.13088593438979912,-0.15656862515965905,-0.18248017173976755,-0.15656862515965905
g_cus,-0.06911775217333356,0.03034835431544658,0.03618975569588915,0.02272278801008279,0.006698587546311481,0.02272278801008279
g_holder,0.08081591645652167,0.07880453540792381,0.0890147235492822,0.07587334897389014,0.061790963642541,0.07587334897389014
g_invest,-0.09303739068477292,-0.09314355535587515,-0.11717901911842445,-0.1293360004021695,-0.1703949445130159,-0.1293360004021695
g_ctrl,0.07943635372500849,0.0926410746883028,0.03838120661133372,0.02176044997339157,0.015791052582122742,0.02176044997339157
g_person,-0.05194862006733575,0.025910587536214287,0.022539461408442846,0.017138172793874057,0.006391304358118477,0.017138172793874057
g_affil,-0.044006671832514624,-0.07107051638807799,-0.05395698404239506,-0.0778282853494338,-0.035645623685742193,-0.0778282853494338
g_rp_other,-0.2200491629383922,-0.2103044622773942,-0.053583077770582514,-0.07079298409370607,-0.04811965784193957,-0.07079298409370607
g_codef,0.14882753047191577,0.12192958533665797,0.0804723450872719,0.07362002277305871,0.05599124997879001,0.07362002277305871
g_debtor,-0.02060162125036927,-0.04339052951642913,-0.027740215876243497,-0.020753651736552615,-0.007763652259893595,-0.020753651736552615
g_ppr3,0.1555584805416691,0.1783373854589311,0.18370984240177,0.17264525506932984,0.15016699571880013,0.17264525506932984
g_hop2,-0.1362077394897036,-0.20077972080160936,-0.183797615507542,-0.13171051824297433,-0.07517492049345195,-0.13171051824297433
g_group,-0.004779218028269147,0.0196624248863018,0.012268945855130864,0.00586387773711074,-0.001627343930992484,0.00586387773711074
g_peer,-0.010648990771162358,-0.08799832725087284,-0.0891511373737834,-0.10062089183305895,-0.11333475775006657,-0.10062089183305895
g_relgrowth,0.1426486714982704,0.08632721983856392,-0.006294775264932897,0.00841769331380362,0.006342251584366869,0.00841769331380362
