标签,模型,测试AUC,测试KS,测试正例
y_big,M1 自身,0.9339180593057481,0.7751602447152691,71
y_big,M5 +同业竞争,0.9344486608771801,0.7776992264467635,71
y_broad,M1 自身,0.9081431236842193,0.6663063686281292,404
y_broad,M5 +同业竞争,0.9176283852772243,0.6909374511519005,404
