机制,变量,系数(百分点),CI_lo,CI_hi,相对基准,覆盖
①上游供应商提价,毛利率挤压(1SD),0.10918518804718533,-0.18644011947486405,0.40481049556923465,0.06312889054364533,
①上游供应商提价,供应商集中度高,0.6390893530762373,0.324102384071102,0.9540763220813726,0.3695098441422608,0.4925063562157099
①上游供应商提价,挤压×集中度高,-0.09043293069274702,-0.4948394176170221,0.31397355623152806,-0.05228667629144282,
②投资方其他被投项目出险,兄弟企业出险(共同控股股东/同一控制),-0.47467818663283573,-1.1931593441840465,0.24380297091837494,-0.2744502969986214,0.047671617824167
②投资方其他被投项目出险,其他被投企业出险(共同创投/产业基金),-0.07715595012529675,-0.4628940718008078,0.30858217155021433,-0.04461016752698976,0.10133145992238726
③竞争对手突破,同业高速增长者占比(1SD),0.34319108769717854,0.0801438789724434,0.6062382964219136,0.19842684706855052,
③竞争对手突破,本企业增速落后同业,-0.006141412356997834,-0.32300937623998816,0.31072655152599254,-0.003550852962773293,0.43884651411748965
③竞争对手突破,高速增长者占比×落后,-0.3406068724044398,-0.6458962315833735,-0.035317513225506095,-0.19693270077202157,
