关系,key,系数(百分点),CI_lo,CI_hi,相对基准违约率
供应商,sup,-0.17884545857012302,-1.3202465416045828,0.9625556244643366,-0.10340519240963476
客户,cus,0.8718081094245385,-0.37875770511041384,2.1223739239594908,0.5040635978127331
股东,holder,1.5850680728509914,0.6674392044390515,2.5026969412629314,0.9164575403029369
对外投资,invest,-0.5196805324137,-1.8412641109629584,0.8019030461355584,-0.3004698351046484
同一控制,ctrl,0.2010795092120154,-0.8188844731134105,1.2210434915374415,0.11626051623531072
同一关键人员,person,-0.12648272732374322,-1.9303288916553647,1.6773634370078783,-0.073130013252637
联营/合营/子公司,affil,0.47766139174525546,-2.3040880569901048,3.2594108404806157,0.27617513195452953
其他关联方,rp_other,-0.5799459056236318,-1.5474075251870907,0.38751571393982714,-0.3353141781605726
共同被告,codef,2.206941954880812,1.0673777505208908,3.3465061592407324,1.276013712094724
债务人,debtor,0.029934311466419727,-0.5319013918590247,0.5917700147918642,0.017307474629675405
