模型,特征数,AUC,逐年平均AUC,KS,AP,Δ vs D1,Δ vs D2
D1 自身(含自身时序),78,0.8763122634631225,0.8747018906989357,0.5988924452904116,0.06263224960581262,,
D2 +静态图谱,155,0.8772090387697856,0.8743027555987053,0.6038999142901668,0.06656811469471344,"+0.0009 [-0.0056, +0.0079]",
D3 +一跳关联事件时序,207,0.8743419641465748,0.87282917416916,0.5827159999109508,0.06544975045848021,,"-0.0028 [-0.0070, +0.0009]"
D4 +多层级时序,223,0.8793909064093146,0.8765643017658131,0.6024687687838108,0.06595552022047799,"+0.0031 [-0.0034, +0.0101]","+0.0022 [-0.0011, +0.0058]"
D1T 自身+关联时序(无静态图谱),146,0.8785866768516664,0.8756726429069527,0.592809899485741,0.06271036136927724,"+0.0022 [-0.0017, +0.0064]",
