信号,暴露企业-月,6个月违约,违约率,CI_lo,CI_hi,未暴露违约率,倍数,同月同评分MH优势比,分层_lo,分层_hi,企业内MH优势比,MH_lo,MH_hi,共变企业数
关联方上过逾期/持续逾期名单,4005,69,0.017228464419475654,0.013636553143418113,0.021745638061143324,0.005807311500380807,2.9666850862651195,2.6307795837137515,1.3419174695109632,3.822425037031787,1.631975052158183,0.6532465866162062,3.6472054706433044,325.0
关联方上过逾期名单（限 2023 年起，与未披露同窗口）,2342,42,0.017933390264730998,0.013294697697758654,0.02415096785783555,0.004265496326248829,4.204291574317687,2.783060278744373,1.2930464123870977,4.4528079686603315,0.21845200551094798,0.0,0.7841288825414717,292.0
关联方上过信用信息未披露名单,8425,93,0.011038575667655787,0.009019741427685909,0.013503116280305663,0.004048758121307022,2.7264102564102566,1.7818747836432176,1.1881862023832286,2.438124850698846,1.8578273685957138,0.6478189986300218,7.047209058523165,656.0
关联方上过任一票据名单,9817,111,0.011306916573291229,0.009398211463956255,0.013597943977548876,0.003940489846671162,2.8694190350073,1.8748898382125139,1.2627956073752162,2.617596862652081,1.165617793036354,0.40193743551719197,4.396126177479325,746.0
企业自己上过票据名单,2046,75,0.036656891495601175,0.029343903014200038,0.0457065789352345,0.003984586373698451,9.199672954153241,5.883200505421938,3.501762862090947,9.497670613739736,1.8941353253052988,0.5634428299887242,12.820946130808663,198.0
无一跳诉讼信号时，关联方上未披露名单,6737,53,0.007867003117114442,0.00601984412770282,0.010275094474622444,0.003743831698977889,2.1013239241663104,,,,,,,
无一跳诉讼信号时，关联方上任一票据名单,7754,66,0.008511735878256384,0.006696407808192285,0.010813823388072408,0.0036601354796416347,2.325524813384714,,,,,,,
