模型,对照,AUC,对照AUC,ΔAUC,CI_lo,CI_hi,P(Δ≤0)
R-GCN,MLP(同架构去边),0.8682231522611877,0.875284263286907,-0.006814711023084337,-0.013879312805626593,0.00043466573857952007,0.9685
GBM(M4)+R-GCN,GBM(M1)+MLP,0.8812657776645727,0.8790223209351722,0.0021788951572588046,-0.002565615688478928,0.007276879394781868,0.1905
GBM(M1)+MLP,M1 自身,0.8790223209351722,0.8766659640139329,0.002336834199938366,-0.01035355600837622,0.015117072649901104,0.36
R-GCN,M1 自身,0.8682231522611877,0.8766659640139329,-0.008324404611597723,-0.024749753156630746,0.00707046143058623,0.8465
