类别,信号,暴露企业-月,6个月违约,违约率,未暴露违约率,倍数,分层优势比,OR_lo,OR_hi,分层口径,事件乘数,乘数_lo,乘数_hi,乘数另控制,违约中有此前兆,提前月数中位数
企业自身（巨潮公告、ST）,债务逾期公告,666,93,0.13963963963963963,0.005630157064642695,24.802085987365174,12.816614103931506,7.747017255241193,24.783872308969784,同月×自身评分五分位,3.858200225657998,1.4505460399372634,10.262141684183456,年份,75.0,2.5626283367556466
企业自身（巨潮公告、ST）,债券兑付违约公告,430,15,0.03488372093023256,0.005942887909057907,5.869826499177987,6.639120957677524,1.3855113476347702,18.681568444188795,同月×自身评分五分位,7.323360752518133,2.379243163897949,22.54145920236984,年份,7.0,9.100616016427105
企业自身（巨潮公告、ST）,被列为失信被执行人,70,5,0.07142857142857142,0.005974902963828826,11.954766773785177,3.5549596840845696,0.0,23.320035696976728,同月×自身评分五分位,5.5294199431750135,0.5012210719590109,60.99999903930996,年份,8.0,4.714579055441479
企业自身（巨潮公告、ST）,银行账户被冻结,2407,185,0.07685916078105526,0.005292158394670833,14.52321624735418,7.284591840007965,5.058508232849715,10.84501644078264,同月×自身评分五分位,5.297502521385128,3.260379193664575,8.60744450173575,年份,133.0,3.4168377823408624
企业自身（巨潮公告、ST）,违规担保或担保逾期,773,96,0.12419146183699871,0.00562036401659968,22.09669364300972,10.460579700212778,6.357028108943497,16.90214989481008,同月×自身评分五分位,9.581396310504035,4.939217745075443,18.58657787469908,年份,44.0,4.813141683778234
企业自身（巨潮公告、ST）,被申请破产或重整,1902,85,0.04468980021030494,0.005691540655327356,7.85196889852218,3.6882120632553015,1.9271730221963577,5.442191842418844,同月×自身评分五分位,1.7086367571931604,0.8265432921514551,3.532107266193388,年份,37.0,5.848049281314168
企业自身（巨潮公告、ST）,被证监会立案调查,4349,179,0.04115888710048287,0.005359629924393155,7.67942706513325,4.036242021483519,2.831487458356607,6.055541293747032,同月×自身评分五分位,2.1521202739467986,1.2526765399832145,3.697380389669393,年份,99.0,7.62217659137577
企业自身（巨潮公告、ST）,新被实施 ST / *ST,2666,255,0.09564891222805702,0.005009652946721497,19.09292185412828,7.3955731406703995,5.609674521138437,10.479370544208965,同月×自身评分五分位,3.1878713966596264,2.068943528714386,4.911938823171,年份,123.0,6.4722792607802875
控股股东层面（上市公司公告）,控股股东或实控人失信、破产重整或债务违约,745,29,0.038926174496644296,0.005893355986473461,6.605094717846396,2.9800291063818922,1.1575726960038522,6.076737095142756,同月×自身评分五分位,1.6090300378134237,0.6566603916803557,3.9426432527182347,年份,16.0,7.93429158110883
控股股东层面（上市公司公告）,股东所持股份被司法冻结,10360,469,0.04527027027027027,0.004263785033816959,10.617390396378434,5.14902137586404,3.9691424208952153,6.5184093950678035,同月×自身评分五分位,3.1849696320954086,2.282092077802685,4.445057960648614,年份,258.0,7.096509240246407
控股股东层面（上市公司公告）,股东质押平仓或被动减持,4182,203,0.04854136776661884,0.00525650850195721,9.234526634655861,4.321573093422178,3.056464740042892,6.313888505806597,同月×自身评分五分位,2.239122046573777,1.3486100947915962,3.7176553540684525,年份,101.0,7.490759753593429
控股股东层面（股权质押）,股权质押比例 ≥ 30%,10188,189,0.018551236749116608,0.0054500889940486555,3.403841069269518,1.7353680046755922,1.1820892188801468,2.464027036873461,同月×自身评分五分位,1.7128908854276614,1.1831718410025645,2.4797709713028904,年份,,
控股股东层面（股权质押）,股权质押比例 ≥ 50%,1213,32,0.026380873866446827,0.005892366112347781,4.4771274159567644,2.07198537828107,0.6213211056104957,4.236733726024557,同月×自身评分五分位,2.0064804059201857,0.8801849738168372,4.57399721547555,年份,,
上市关联方事件,关联方：债务逾期公告,1036,17,0.016409266409266408,0.0059494359280506705,2.758121376162613,1.8477704121305094,0.3941233061710608,4.391509806823775,同月×自身评分五分位,2.1569978103495964,0.7370270329587252,6.312712215148165,年份,,
上市关联方事件,关联方：债券兑付违约公告,116,0,0.0,0.005996390759366305,0.0,0.0,0.0,0.0,同月×自身评分五分位,,,,年份,,
上市关联方事件,关联方：被列为失信被执行人,199,20,0.10050251256281408,0.005916918638293711,16.98561678918006,8.085213378411035,0.8854989462512173,19.05295898377959,同月×自身评分五分位,11.825495544973727,3.3210606483771232,42.107735958549604,年份,,
上市关联方事件,关联方：银行账户被冻结,1583,26,0.016424510423247,0.005925889498143549,2.7716531717968143,1.7998599649727018,0.567120893148317,3.681836880605707,同月×自身评分五分位,1.9868854120765638,0.7801338467668433,5.060302994266189,年份,,
上市关联方事件,关联方：违规担保或担保逾期,825,31,0.037575757575757575,0.005887111270896998,6.382715706685172,4.017881956468907,1.2518628558510194,7.758728616573895,同月×自身评分五分位,3.8623603718689226,1.9754747844712277,7.551515088650687,年份,,
上市关联方事件,关联方：被申请破产或重整,2430,40,0.01646090534979424,0.005888956971957544,2.7952157620065754,2.0482320387414705,0.8397196078480806,3.3522119423783097,同月×自身评分五分位,1.9818542609720184,0.8231307833285161,4.771715979142722,年份,,
上市关联方事件,关联方：被证监会立案调查,2897,66,0.022782188470831896,0.005793160280181293,3.9326010966364877,3.1212642191070126,1.5547934623111654,4.784074284377551,同月×自身评分五分位,3.056172863090548,1.459216073356163,6.400829006501313,年份,,
上市关联方事件,关联方：新被实施 ST / *ST,1641,49,0.029859841560024376,0.005833019069012445,5.119105767826638,3.3421520642860436,1.5251781275005118,5.397310983646638,同月×自身评分五分位,4.030253467298818,2.127309661310963,7.6354389330721,年份,,
上市关联方事件,关联方：任一上述事件,7639,134,0.017541563031810446,0.005622841005555602,3.119697500690247,2.262244312443022,1.324996107059703,3.30770194565366,同月×自身评分五分位,2.237916765822363,1.3630330193620634,3.6743581260363256,年份,,
上市关联方事件,关联方：任一上述事件（仅一跳无诉讼信号的月份）,5230,77,0.014722753346080307,0.005151339922222271,2.8580434543968045,2.1751853699395025,1.1071375113372073,3.3826793910371364,同月×自身评分五分位,2.02892196718085,1.048434235588557,3.926354376055,年份,,
票据承兑人名单（票交所）,关联方上过承兑人逾期或持续逾期名单,4005,69,0.017228464419475654,0.005807311500380807,2.9666850862651195,2.630779583713751,1.3274198392383998,4.241174061575472,同月×自身评分五分位,1.2939380945256045,0.5492023101245318,3.0485592678678093,年份,,
票据承兑人名单（票交所）,关联方上过信用信息未披露名单,8425,93,0.011038575667655787,0.005814345706913126,1.8985069385418842,1.781874783643218,0.9065917408205393,2.852448362073428,同月×自身评分五分位,1.541923748863142,0.8772235770528103,2.710288356927091,年份,,
票据承兑人名单（票交所）,关联方上过任一名单（仅一跳无诉讼信号的月份）,9014,79,0.008764144663856223,0.005229867255643992,1.6757872113098269,1.6699462048416398,0.9686394184618407,2.529207954048815,同月×自身评分五分位,1.1490760606509096,0.5963431714843018,2.214120755125928,年份,,
票据承兑人名单（票交所）,企业自己上过任一名单,2500,93,0.0372,0.005672632735081058,6.5578015953589555,5.602831043890848,3.1806169433102798,8.970189845557469,同月×自身评分五分位,3.050374836516244,1.5580982953682778,5.971886800025147,年份,,
关联发债主体（巨潮债券公告）,关联发债主体违约、展期或破产重整（含非上市）,73,7,0.0958904109589041,0.005966830126586403,16.070578334658002,6.226372783295645,0.0,35.705616627364314,同月×自身评分五分位,3.873589046361721,0.7254129425733898,20.684345728468294,年份,,
关联发债主体（巨潮债券公告）,其中：非上市发债主体,50,7,0.14,0.0059662712230245125,23.465242320819115,7.690514949510739,0.0,36.20829898575124,同月×自身评分五分位,5.471474090983826,0.9484762411650566,31.563287965478466,年份,,
本地灾害与天气,本地：地震（M≥5）,5051,23,0.00455355375173233,0.00602379586440847,0.7559276333776433,1.5965052155474844,0.38067169155589786,5.48741182752803,同省同年×自身评分五分位,1.2145397984281285,0.6577292907509789,2.242726517898571,省份、月份,,
本地灾害与天气,本地：台风过境,19825,86,0.004337957124842371,0.006138936626330989,0.7066300548267761,0.7031198298857134,0.4892347956202026,0.9735611400934177,同省同年×自身评分五分位,0.8211082100979867,0.5431512969957141,1.241309182946938,省份、月份,,
本地灾害与天气,本地：极端降水,55620,277,0.0049802229413879896,0.0062902351337267145,0.7917387562644904,0.8424403253538008,0.6771644869564287,1.0441255685907642,同省同年×自身评分五分位,0.993820240262324,0.7350240320791098,1.3437365675803652,省份、月份,,
本地灾害与天气,本地：极端高温,36393,182,0.005000961723408348,0.006166230091202845,0.8110241832433489,0.9678253889558848,0.7826865398746593,1.254512488565067,同省同年×自身评分五分位,0.9658795854480723,0.7117704346869482,1.3107082397931569,省份、月份,,
本地灾害与天气,本地：寒潮,11667,83,0.007114082454787006,0.0059376736630616,1.198126212129823,1.2637031521911775,0.8233361505510643,1.7814406945003842,同省同年×自身评分五分位,0.8881144685134355,0.5559200797970179,1.4188142106162018,省份、月份,,
本地灾害与天气,本地：任一突发灾害（地震、台风、极端降水）,62308,307,0.004927136162290556,0.006356082470852042,0.7751844292275312,0.8460957666265476,0.6492398786828383,1.064957986099345,同省同年×自身评分五分位,1.01156181236208,0.7597329514154796,1.3468644453591183,省份、月份,,
外省关联方灾害与天气,关联方所在地：地震（M≥5）,30098,314,0.010432586882849358,0.006203369468194398,1.6817613292806095,0.8890282462706258,0.6526432111778993,1.1732015466683843,同月×关联方覆盖省份数×自身评分五分位,0.7730475720452555,0.5589066748478513,1.0692349466174245,关联方覆盖省份数、月份,,
外省关联方灾害与天气,关联方所在地：地震（M≥5）,30098,314,0.010432586882849358,0.006203369468194398,1.6817613292806095,1.1428999421711594,0.6129150019318483,1.9349709017214927,同一企业同一观察年内,0.7730475720452555,0.5589066748478513,1.0692349466174245,关联方覆盖省份数、月份,,
外省关联方灾害与天气,关联方所在地：台风过境,46480,402,0.008648881239242685,0.006287597297013237,1.3755463065917273,1.3261227232458157,1.0119560581731573,1.6930808454639823,同月×关联方覆盖省份数×自身评分五分位,1.2504322934133634,0.9231796294523471,1.693690881522763,关联方覆盖省份数、月份,,
外省关联方灾害与天气,关联方所在地：台风过境,46480,402,0.008648881239242685,0.006287597297013237,1.3755463065917273,0.6871721403244847,0.5548941384340806,0.875016899871982,同一企业同一观察年内,1.2504322934133634,0.9231796294523471,1.693690881522763,关联方覆盖省份数、月份,,
外省关联方灾害与天气,关联方所在地：极端降水,116393,958,0.008230735525332279,0.005019927260056188,1.6396125080984048,1.1444305394018903,0.9207156592732314,1.3739960421036774,同月×关联方覆盖省份数×自身评分五分位,1.1334354943119065,0.8920985329248043,1.4400606797930495,关联方覆盖省份数、月份,,
外省关联方灾害与天气,关联方所在地：极端降水,116393,958,0.008230735525332279,0.005019927260056188,1.6396125080984048,0.29522282440729375,0.20166687750596723,0.4204502735672863,同一企业同一观察年内,1.1334354943119065,0.8920985329248043,1.4400606797930495,关联方覆盖省份数、月份,,
