模型,AUC,KS,AP,Top10%捕获率,对照,ΔAUC,CI_lo,CI_hi
gbm::M1 自身,0.9293587993170852,0.7265046881246746,0.14507234900306146,0.7558139534883721,,,,
gbm::M4 +结构位置,0.9340330947154564,0.7457110385283638,0.14619946637004286,0.7441860465116279,,,,
gnn::R-GCN,0.9356448340109679,0.7396362146001956,0.1592211969595214,0.7906976744186046,gnn::MLP(同架构去边),-0.0006408876383870521,-0.0075951014188838095,0.005942408607341663
gnn::MLP(同架构去边),0.9362709230664785,0.7462026064414254,0.16230477553695774,0.813953488372093,,,,
ens::GBM(M4)+R-GCN,0.944933078874649,0.7601601178757226,0.1635811003368079,0.813953488372093,ens::GBM(M1)+MLP,0.002770996613084505,-0.0026316012793337006,0.008473401901399908
ens::GBM(M1)+MLP,0.9421464796948507,0.7684652269132803,0.15800634231884728,0.8372093023255814,,,,
