观察年,单次切分AUC,滚动外推AUC,单次切分中该年角色
2019,0.9928922869986903,0.8445612544688683,训练
2020,0.9886413074318573,0.8156836968241058,训练
2021,0.8817636264444776,0.8809328968903436,验证
2022,0.9268827892040676,0.927417998317914,测试
2023,0.9321568322578972,0.9287213602692107,测试
